"id","playerID","gameID"
"1","3578","10A-1"
"2","3672","10A-1"
"3","3673","10A-1"
"4","3770","10A-1"
"5","3896","10A-2"
"6","3965","10A-2"
"7","3980","10A-2"
"8","4235","10A-2"
"9","4247","10A-3"
"10","4372","10A-3"
"11","4697","10A-3"
"12","4847","10A-3"
"13","4862","10A-4"
"14","5248","10A-4"
"15","5271","10A-4"
"16","5592","10A-4"
"17","5684","10A-5"
"18","5971","10A-5"
"19","6103","10A-5"
"20","6363","10A-5"
"21","6621","10A-6"
"22","3497","10B-1"
"23","3636","10B-1"
"24","3637","10B-1"
"25","3659","10B-1"
"26","3700","10B-2"
"27","3702","10B-2"
"28","3710","10B-2"
"29","3721","10B-2"
"30","3728","10B-3"
"31","3883","10B-3"
"32","3884","10B-3"
"33","4251","10B-3"
"34","4272","10B-4"
"35","4277","10B-4"
"36","4429","10B-4"
"37","4461","10B-4"
"38","4846","10B-5"
"39","5011","10B-5"
"40","5040","10B-5"
"41","5115","10B-5"
"42","6029","10B-6"
"43","6266","10B-6"
"44","6311","10B-6"
"45","6530","10B-6"
"46","6639","10B-3"
"47","6688","10B-3"
"48","1526","11A-1"
"49","3460","11A-1"
"50","3501","11A-1"
"51","3533","11A-1"
"52","3595","11A-2"
"53","3874","11A-2"
"54","4427","11A-2"
"55","4609","11A-2"
"56","4615","11A-3"
"57","4978","11A-3"
"58","5053","11A-3"
"59","5226","11A-3"
"60","5369","11A-4"
"61","5535","11A-4"
"62","5544","11A-4"
"63","6133","11A-4"
"64","6351","11A-5"
"65","6356","11A-5"
"66","6367","11A-5"
"67","1018","11B-1"
"68","1333","11B-1"
"69","3511","11B-1"
"70","3522","11B-1"
"71","3524","11B-2"
"72","3538","11B-2"
"73","3546","11B-2"
"74","3699","11B-2"
"75","3717","11B-3"
"76","4308","11B-3"
"77","4937","11B-3"
"78","5031","11B-3"
"79","5241","11B-4"
"80","5243","11B-4"
"81","5310","11B-4"
"82","6114","11B-4"
"83","6149","11B-3"
"84","6222","11B-1"
"85","6480","11B-5"
"86","studentID","rad-1"
